stream,tempsite,year,date,priordate,section,meantempper,avgredds,basin_areasqkm,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm,seclen,elap,catch,density,cpue,effabun,effden_permeter,lenmean,lensd,lenmed,wtmean,wtsd,wtmed,priorcatch,priorlenmean,priorwtmean,doy,density_log,cpue_log,effden_permeter_log,avgredds_log,strid,yrid,sectid
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,3,10.17976041715,NA,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,15.95,9,0.06,0.5642633228840126,16540,110.26666666666668,42.666666666666664,4.415880433163924,44,0.7955555555555556,0.25239409220062536,0.94,38,30.76315789473684,0.23421052631578948,252,-2.6592600369327783,-0.5546672371874767,4.702992359607617,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-09-09,2021-08-20,4,10.17976041715,NA,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,35.76666667,86,0.5733333333333334,2.4044734387321087,113197,754.6466666666666,33.78,5.319544249313861,34,0.3052,0.1587481640581608,0.28,121,26.8,0.14200000000000002,252,-0.5389965007326869,0.8814812255387533,6.626262899683778,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-10-09,2021-09-09,1,9.278504166633333,NA,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,25.91666667,174,1.16,6.7138263656959705,355532,2370.213333333333,47.87755102040816,5.023414563576355,48,1.1640816326530612,0.3970616994841972,1.09,37,40.351351351351354,0.5821621621621622,282,0.1570037488096647,1.9056573921457218,7.770739463163462,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-10-09,2021-09-09,2,9.278504166633333,NA,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,25.36666667,196,1.7657657657657655,7.726675426054313,473137,4262.495495495496,51.7,7.964846232677947,51,1.3878,0.6084181228767745,1.29,75,33.02,0.369,282,0.5742317472265038,2.0459720638090184,8.357612410856747,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-10-09,2021-09-09,3,9.278504166633333,NA,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,23.51666667,86,0.5733333333333334,3.6569808641166577,225615,1504.1,54.93877551020408,7.6305530688184335,54,1.8026530612244895,0.9716325941214528,1.6,9,42.666666666666664,0.7955555555555556,282,-0.5389965007326869,1.2993686706726981,7.315956640133183,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-10-09,2021-09-09,4,9.278504166633333,NA,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,26.6,93,0.62,3.496240601503759,229544,1530.2933333333333,49.74,7.280978853232887,49.5,1.243,0.6971845713515269,1.085,86,33.78,0.3052,282,-0.4620354595965587,1.2545444097872402,7.333221251816753,NA,12,1,12.4
Upper Bar BC,upperbarbc_SG,2021,2021-11-04,2021-10-09,1,7.796841346230769,NA,5.737212268229257,0.5274349904234408,0.8337598623194578,0.7464046022364514,0.8324666876315442,0.942527279101443,0.9632537152324044,150,38.4,141,0.94,3.671875,619077,4127.18,56.2,7.033447785766383,54,1.793,0.6971055317876768,1.52,174,47.87755102040816,1.1640816326530612,308,-0.05129329438755058,1.3034221332938147,8.32535206697732,NA,12,1,12.1
Upper Bar BC,upperbarbc_SG,2021,2021-11-04,2021-10-09,2,7.796841346230769,NA,1.0721637327812,0.510889410385717,0.7885993465795321,0.717990419960077,0.7902531464634588,0.9349109045103215,0.9528347582868584,111,31.63333333,97,0.8738738738738738,3.066385669448513,217407,1958.6216216216217,51.3125,9.880469129184402,50,1.363125,1.0218009887636137,1.16,196,51.7,1.3878,308,-0.12344090313703474,1.1237554239687813,7.5800013561689354,NA,12,1,12.2
Upper Bar BC,upperbarbc_SG,2021,2021-11-04,2021-10-09,3,7.796841346230769,NA,4.588540510159026,0.5701279963468117,0.8663072979306295,0.7765301805756214,0.8654425994835618,0.9502946353498796,0.9710344963093296,150,30.33333333,92,0.6133333333333333,3.0329670333003262,487881,3252.54,59.104166666666664,6.9992084152221326,58.5,2.0397916666666664,0.8062904011538943,1.785,86,54.93877551020408,1.8026530612244895,308,-0.47267385780161447,1.1128330372381172,8.087194583058661,NA,12,1,12.3
Upper Bar BC,upperbarbc_SG,2021,2021-11-04,2021-10-09,4,7.796841346230769,NA,4.529905924183394,0.5572943803106315,0.8725467259979143,0.7832363532900656,0.871971222320946,0.9519830038280476,0.9725400272049536,150,33.61666667,109,0.7266666666666667,3.2424392659154746,316636,2110.9066666666668,56.66,7.366803643261259,56,1.905,0.8338312118144285,1.775,93,49.74,1.243,308,-0.30561977313844824,1.1794052581834387,7.65487757130725,NA,12,1,12.4
Blacktail,blacktail_1A,2021,2021-08-05,2021-08-01,1,10.83859375,NA,61.15053540247885,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.8821536565376786,0.9049101556301486,150,31,988,6.586666666666667,31.870967741935484,573878,3825.8533333333335,24.92,1.709628112435065,25,0.1101010101010101,0.03834576712118486,0.1,NA,NA,NA,217,1.8865644709463647,3.4620092092309074,8.249539428853407,NA,3,1,3.1
Blacktail,blacktail_1A,2021,2021-08-05,2021-08-01,2,10.83859375,NA,61.060521203593886,0.22620143377145535,0.6713048765188722,0.6199930001858225,0.6766030701541962,0.9061377413613532,0.9217780863174186,111,33.63333333,323,2.90990990990991,9.6035678899508,216264,1948.3243243243244,25.42,3.012365089816212,25,0.1193,0.07709701352808353,0.105,NA,NA,NA,217,1.071552763033655,2.263175422544342,7.5747300938731685,NA,3,1,3.2
Blacktail,blacktail_1A,2021,2021-08-05,2021-08-01,3,10.83859375,NA,59.937486912793794,0.6231756746460908,0.8385532070264314,0.7885032117143278,0.8588993646035864,0.9532989836445984,0.9695142507827592,150,15.91666667,31,0.2066666666666667,1.947643978649708,18426,122.84,24.322580645161292,1.7007272321802724,25,0.11064516129032258,0.02143758131117217,0.11,NA,NA,NA,217,-1.5293952047605637,0.6717416984894553,4.8109640989671885,NA,3,1,3.3
Blacktail,blacktail_1A,2021,2021-08-05,2021-08-01,4,10.83859375,NA,0.981259905698498,0.5643809969670056,0.6790498622834606,0.6380487647673285,0.6832930471973886,0.9117630587528612,0.9237446679126946,150,23.38333333,5,0.03333333333333333,0.21382751250375304,2604,17.36,22.8,1.095445115010332,23,0.078,0.00836660026534075,0.08,NA,NA,NA,217,-3.138833117194664,-1.4968795572205398,2.854744580253014,NA,3,1,3.4
Blacktail,blacktail_1A,2021,2021-08-20,2021-08-05,1,10.573497223533334,NA,61.15053540247885,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.8821536565376786,0.9049101556301486,150,32.8,790,5.266666666666667,24.085365853658537,656283,4375.22,25.82,3.526517620913334,24,0.13755102040816328,0.08625375866797771,0.1,988,24.92,0.1101010101010101,232,1.663294585224811,3.1820195337769213,8.383714368838458,NA,3,1,3.1
Blacktail,blacktail_1A,2021,2021-08-20,2021-08-05,2,10.573497223533334,NA,61.060521203593886,0.22620143377145535,0.6713048765188722,0.6199930001858225,0.6766030701541962,0.9061377413613532,0.9217780863174186,111,32.78333333,495,4.45945945945946,15.09913574124038,269862,2431.189189189189,26.02,3.5137630273319367,25,0.143,0.08008286524670835,0.12,323,25.42,0.1193,232,1.4972674750178805,2.7152995768486843,7.79613990810022,NA,3,1,3.2
Blacktail,blacktail_1A,2021,2021-08-20,2021-08-05,3,10.573497223533334,NA,59.937486912793794,0.6231756746460908,0.8385532070264314,0.7885032117143278,0.8588993646035864,0.9532989836445984,0.9695142507827592,150,17.68333333,43,0.2866666666666667,2.4316682379701544,29458,196.38666666666663,25.906976744186046,3.772165940199168,24,0.14186046511627906,0.09032364595622862,0.1,31,24.322580645161292,0.11064516129032258,232,-1.215146104924061,0.8926815097720787,5.2801364236106885,NA,3,1,3.3
Blacktail,blacktail_1A,2021,2021-08-20,2021-08-05,4,10.573497223533334,NA,0.981259905698498,0.5643809969670056,0.6790498622834606,0.6380487647673285,0.6832930471973886,0.9117630587528612,0.9237446679126946,150,32.66666667,74,0.49333333333333335,2.265306122217826,57411,382.74,26.62,2.783992141673169,26,0.132,0.04607004427599171,0.12,5,22.8,0.078,232,-0.6865026378412769,0.8221146025672611,5.947382034537793,NA,3,1,3.4
Blacktail,blacktail_1A,2021,2021-09-09,2021-08-20,1,10.17300416635,NA,61.15053540247885,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.8821536565376786,0.9049101556301486,150,36.01666667,305,2.033333333333333,8.468301711386552,680414,4536.093333333333,35.74,9.358636740073475,35,0.4652,0.49281879768018055,0.305,790,25.82,0.13755102040816328,252,0.7145824612800101,2.137510159863459,8.419823625865337,NA,3,1,3.1
Blacktail,blacktail_1A,2021,2021-09-09,2021-08-20,2,10.17300416635,NA,61.060521203593886,0.22620143377145535,0.6713048765188722,0.6199930001858225,0.6766030701541962,0.9061377413613532,0.9217780863174186,111,38.71666667,286,2.5765765765765765,7.386999568886181,558013,5027.144144144144,33.46,7.365695444949859,32.5,0.3884,0.29033660971151315,0.28500000000000003,495,26.02,0.143,252,0.9503352162774102,2.0010744543234766,8.52260932646976,NA,3,1,3.2
Blacktail,blacktail_1A,2021,2021-09-09,2021-08-20,3,10.17300416635,NA,59.937486912793794,0.6231756746460908,0.8385532070264314,0.7885032117143278,0.8588993646035864,0.9532989836445984,0.9695142507827592,150,16.38333333,78,0.52,4.760935911446783,79823,532.1533333333333,32.1,5.3347149570965255,31,0.2992,0.19971244634346105,0.225,43,25.906976744186046,0.14186046511627906,252,-0.6348782724359695,1.5625424935044856,6.276950459765262,NA,3,1,3.3
Blacktail,blacktail_1A,2021,2021-09-09,2021-08-20,4,10.17300416635,NA,0.981259905698498,0.5643809969670056,0.6790498622834606,0.6380487647673285,0.6832930471973886,0.9117630587528612,0.9237446679126946,150,40.25,36,0.24,0.8944099378881988,56513,376.7533333333334,39.361111111111114,4.592868868631506,40,0.4638888888888889,0.16723427156926174,0.465,74,26.62,0.132,252,-1.3862943611198906,-0.10047255026164983,5.931617227280733,NA,3,1,3.4
Blacktail,blacktail_1A,2021,2021-10-09,2021-09-09,1,9.5207319445,NA,61.15053540247885,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.8821536565376786,0.9049101556301486,150,24.81666667,239,1.5933333333333333,9.630624578961635,472670,3151.133333333333,48.86,8.85716589858754,49.5,1.2912,0.7339844851833014,1.285,305,35.74,0.4652,282,0.4720847954495601,2.2659858968723676,8.055520628927521,NA,3,1,3.1
Blacktail,blacktail_1A,2021,2021-10-09,2021-09-09,2,9.5207319445,NA,61.060521203593886,0.22620143377145535,0.6713048765188722,0.6199930001858225,0.6766030701541962,0.9061377413613532,0.9217780863174186,111,25.28333333,225,2.027027027027027,8.899143046657764,974946,8783.297297297297,56.88,9.011647791517785,54.5,1.942,1.067271937115889,1.58,286,33.46,0.3884,282,0.7114914052111541,2.187078058030949,9.080608301042428,NA,3,1,3.2
Blacktail,blacktail_1A,2021,2021-10-09,2021-09-09,3,9.5207319445,NA,59.937486912793794,0.6231756746460908,0.8385532070264314,0.7885032117143278,0.8588993646035864,0.9532989836445984,0.9695142507827592,150,18.58333333,70,0.4666666666666667,3.76681614417342,147267,981.78,46.66,5.40071801726778,45,0.9988,0.3997940286023822,0.86,78,32.1,0.2992,282,-0.7409378443962937,1.3288813648048317,6.889377436198278,NA,3,1,3.3
Blacktail,blacktail_1A,2021,2021-10-09,2021-09-09,4,9.5207319445,NA,0.981259905698498,0.5643809969670056,0.6790498622834606,0.6380487647673285,0.6832930471973886,0.9117630587528612,0.9237446679126946,150,23.61666667,30,0.2,1.2702893435045464,94144,627.6266666666667,55.8,5.033679671421569,55,1.7953333333333334,0.5328177105199096,1.68,36,39.361111111111114,0.4638888888888889,282,-1.5606477482646683,0.2470861019990885,6.441961442776673,NA,3,1,3.4
Blacktail,blacktail_1A,2021,2021-11-04,2021-10-09,1,8.543158653884616,NA,61.15053540247885,0.1826490862564895,0.622626232273571,0.548516255144761,0.62181965388978655,0.8821536565376786,0.9049101556301486,150,26.15,196,1.3066666666666666,7.495219885277247,432158,2881.0533333333333,57.96,11.646073175459756,56.5,2.1018,1.796213352629154,1.72,239,48.86,1.2912,308,0.2751032902449208,2.0155987631608623,7.9659147179506204,NA,3,1,3.1
Blacktail,blacktail_1A,2021,2021-11-04,2021-10-09,2,8.543158653884616,NA,61.060521203593886,0.22620143377145535,0.6713048765188722,0.6199930001858225,0.6766030701541962,0.9061377413613532,0.9217780863174186,111,24.56666667,194,1.7477477477477477,7.896879239091333,768000,6918.918918918919,61.56,11.937182520620697,60,2.2794,1.5919111989385972,1.91,225,56.88,1.942,308,0.5640333007694731,2.067733170313926,8.84201625612893,NA,3,1,3.2
Blacktail,blacktail_1A,2021,2021-11-04,2021-10-09,3,8.543158653884616,NA,59.937486912793794,0.6231756746460908,0.8385532070264314,0.7885032117143278,0.8588993646035864,0.9532989836445984,0.9695142507827592,150,28.5,84,0.56,2.9473684210526314,214029,1426.86,51.66,6.784165236724683,50.5,1.3354,0.5782634453645655,1.1549999999999998,70,46.66,0.9988,308,-0.5621189181535411,1.0842998259576662,7.263238513116729,NA,3,1,3.3
Blacktail,blacktail_1A,2021,2021-11-04,2021-10-09,4,8.543158653884616,NA,0.981259905698498,0.5643809969670056,0.6790498622834606,0.6380487647673285,0.6832930471973886,0.9117630587528612,0.9237446679126946,150,28.28333333,38,0.25333333333333335,1.3435474368112608,137662,917.7466666666668,59.94736842105263,5.45719147855107,59,2.1076315789473683,0.5987213140926176,1.96,30,55.8,1.7953333333333334,308,-1.3343346221891794,0.3027288769728535,6.821932286492937,NA,3,1,3.4
Lower Bar BC,lowerbarbc_SG,2021,2021-08-06,2021-08-01,1,10.480795832,NA,6.402573287281949,0.4067787217041353,0.582880276909069,0.5397310341487279,0.5887886513067416,0.8789946907254199,0.8940143829618092,150,19.76666667,64,0.4266666666666667,3.237774029808133,46574,310.49333333333334,26.59375,4.562506794950365,24.5,0.15328125,0.08677748752568169,0.11,NA,NA,NA,218,-0.8285851514550494,1.177969847775773,5.738194636688964,NA,9,1,9.1
Lower Bar BC,lowerbarbc_SG,2021,2021-08-06,2021-08-01,2,10.480795832,NA,6.396507640456636,0.3592561705153437,0.5800715908687866,0.5375124670101292,0.5860892961863435,0.8781889079048821,0.8930974259016707,150,26.06666667,65,0.43333333333333335,2.4936061377885412,39177,261.18,24.50769230769231,1.4590565972045615,24,0.11296875,0.02915093112945598,0.11,NA,NA,NA,218,-0.8134333464344472,0.917732147650538,5.565248111830189,NA,9,1,9.2
Lower Bar BC,lowerbarbc_SG,2021,2021-08-06,2021-08-01,3,10.480795832,NA,0.524071885677815,0.4232220931289375,0.6306054399346628,0.5677177904761083,0.630572107194336,0.8888874625208086,0.9077014120377777,150,17.88333333,20,0.13333333333333333,1.118359739257849,11358,75.72,23.8,1.2396943596157717,23,0.085,0.01762175688714021,0.08,NA,NA,NA,218,-1.9425823589626385,0.1207650200141821,4.327174383125731,NA,9,1,9.3
Lower Bar BC,lowerbarbc_SG,2021,2021-08-06,2021-08-01,4,10.480795832,NA,0.451122373196237,0.5091795693446255,0.6403032592807688,0.5810642961662844,0.6411973962178619,0.8934365835729878,0.9110389014891378,150,22.46666667,2,0.01333333333333333,0.08902077150014528,2120,14.133333333333333,23,1.4142135623730951,23,0.105,0.02121320343559642,0.105,NA,NA,NA,218,-3.757872325600888,-2.3124256377224635,2.649243370546124,NA,9,1,9.4
Lower Bar BC,lowerbarbc_SG,2021,2021-08-21,2021-08-06,1,10.3724277782,NA,6.402573287281949,0.4067787217041353,0.582880276909069,0.5397310341487279,0.5887886513067416,0.8789946907254199,0.8940143829618092,150,21.71666667,85,0.5666666666666667,3.9140445120623113,59942,399.61333333333334,28.18,5.92707382117286,26.5,0.191,0.1876846030021686,0.115,64,26.59375,0.15328125,233,-0.5504908801584221,1.367122885181672,5.990522436794726,NA,9,1,9.1
Lower Bar BC,lowerbarbc_SG,2021,2021-08-21,2021-08-06,2,10.3724277782,NA,6.396507640456636,0.3592561705153437,0.5800715908687866,0.5375124670101292,0.5860892961863435,0.8781889079048821,0.8930974259016707,150,28.31666667,142,0.9466666666666668,5.0147145373731945,87339,582.26,26.02,3.1783065700245507,25,0.1156,0.07080182172221047,0.09,65,24.50769230769231,0.11296875,233,-0.04430025889657983,1.61436864384853,6.366934257680746,NA,9,1,9.2
Lower Bar BC,lowerbarbc_SG,2021,2021-08-21,2021-08-06,3,10.3724277782,NA,0.524071885677815,0.4232220931289375,0.6306054399346628,0.5677177904761083,0.630572107194336,0.8888874625208086,0.9077014120377777,150,18.13333333,63,0.42,3.4742647065210046,37925,252.83333333333337,24.84,2.003670101975627,24,0.1232,0.0450142834474316,0.11,20,23.8,0.085,233,-0.843970070294529,1.2482570338655747,5.532770061085197,NA,9,1,9.3
Lower Bar BC,lowerbarbc_SG,2021,2021-08-21,2021-08-06,4,10.3724277782,NA,0.451122373196237,0.5091795693446255,0.6403032592807688,0.5810642961662844,0.6411973962178619,0.8934365835729878,0.9110389014891378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,0.105,233,NA,NA,NA,NA,9,1,9.4
Lower Bar BC,lowerbarbc_SG,2021,2021-09-13,2021-08-21,1,10.143428442304348,NA,6.402573287281949,0.4067787217041353,0.582880276909069,0.5397310341487279,0.5887886513067416,0.8789946907254199,0.8940143829618092,150,16.78333333,42,0.28,2.502482622145478,66685,444.56666666666666,39.214285714285715,7.155198397773346,39,0.5980952380952381,0.36887593323922974,0.52,85,28.18,0.191,256,-1.2378743560016172,0.9212713568022608,6.097122518521458,NA,9,1,9.1
Lower Bar BC,lowerbarbc_SG,2021,2021-09-13,2021-08-21,2,10.143428442304348,NA,6.396507640456636,0.3592561705153437,0.5800715908687866,0.5375124670101292,0.5860892961863435,0.8781889079048821,0.8930974259016707,150,23.43333333,47,0.31333333333333335,2.005689900712047,59895,399.3,35.297872340425535,5.388856834556727,35,0.38,0.20105158325771716,0.33,142,26.02,0.1156,256,-1.129071496152818,0.7009615192865059,5.989738057582281,NA,9,1,9.2
Lower Bar BC,lowerbarbc_SG,2021,2021-09-13,2021-08-21,3,10.143428442304348,NA,0.524071885677815,0.4232220931289375,0.6306054399346628,0.5677177904761083,0.630572107194336,0.8888874625208086,0.9077014120377777,150,19.55,33,0.22,1.6879795396419437,46680,311.2,36.71875,6.98031506359826,38,0.43333333333333335,0.2472810479326442,0.42,63,24.84,0.1232,256,-1.4696759700589417,0.5294390381357235,5.740467925464054,NA,9,1,9.3
Lower Bar BC,lowerbarbc_SG,2021,2021-09-13,2021-08-21,4,10.143428442304348,NA,0.451122373196237,0.5091795693446255,0.6403032592807688,0.5810642961662844,0.6411973962178619,0.8934365835729878,0.9110389014891378,150,24.83333333,38,0.25333333333333335,1.5302013424872754,44016,293.44,33.68421052631579,4.932546423983363,33.5,0.35973684210526313,0.16893124848316993,0.34,NA,NA,NA,256,-1.3343346221891794,0.43191314975441786,5.681707267004343,NA,9,1,9.4
Lower Bar BC,lowerbarbc_SG,2021,2021-10-06,2021-09-13,1,9.58777173904348,NA,6.402573287281949,0.4067787217041353,0.582880276909069,0.5397310341487279,0.5887886513067416,0.8789946907254199,0.8940143829618092,150,46.35,173,1.153333333333333,3.7324703344120818,720658,4804.386666666666,54.36734693877551,7.140535336930921,53,1.5787755102040817,0.6525291585217387,1.43,42,39.214285714285715,0.5980952380952381,279,0.15128944754622592,1.3197459106034315,8.477286749871642,NA,9,1,9.1
Lower Bar BC,lowerbarbc_SG,2021,2021-10-06,2021-09-13,2,9.58777173904348,NA,6.396507640456636,0.3592561705153437,0.5800715908687866,0.5375124670101292,0.5860892961863435,0.8781889079048821,0.8930974259016707,150,45.06666667,227,1.5133333333333334,5.036982248148153,278973,1859.82,47.48888888888889,7.6681816684928705,49,1.1304444444444444,0.5163506364845305,1.12,47,35.297872340425535,0.38,279,0.4209009162380037,1.6187904900442622,7.528240364680746,NA,9,1,9.2
Lower Bar BC,lowerbarbc_SG,2021,2021-10-06,2021-09-13,3,9.58777173904348,NA,0.524071885677815,0.4232220931289375,0.6306054399346628,0.5677177904761083,0.630572107194336,0.8888874625208086,0.9077014120377777,150,56.65,141,0.94,2.4889673433362756,245808,1638.72,47.63265306122449,6.098817773248559,47,1.0722448979591837,0.3964439078972504,1.05,33,36.71875,0.43333333333333335,279,-0.05129329438755058,0.9158775838747828,7.401676830579332,NA,9,1,9.3
Lower Bar BC,lowerbarbc_SG,2021,2021-10-06,2021-09-13,4,9.58777173904348,NA,0.451122373196237,0.5091795693446255,0.6403032592807688,0.5810642961662844,0.6411973962178619,0.8934365835729878,0.9110389014891378,150,40.21666667,113,0.7533333333333333,2.809780356169931,248249,1654.993333333333,46.51020408163265,4.27259897963948,47,0.9973469387755102,0.2916460148179359,1,38,33.68421052631579,0.35973684210526313,279,-0.27006047110196146,1.0366589940336002,7.411558301907825,NA,9,1,9.4
Lower Bar BC,lowerbarbc_SG,2021,2021-11-02,2021-10-06,1,8.944648148222223,NA,6.402573287281949,0.4067787217041353,0.582880276909069,0.5397310341487279,0.5887886513067416,0.8789946907254199,0.8940143829618092,150,24.5,69,0.46,2.816326530612245,260332,1735.5466666666666,58.13636363636363,7.95215608934738,56.5,2.0136363636363637,0.8563744315537611,1.79,173,54.36734693877551,1.5787755102040817,306,-0.7550225842780327,1.0389778227439996,7.459083486262118,NA,9,1,9.1
Lower Bar BC,lowerbarbc_SG,2021,2021-11-02,2021-10-06,2,8.944648148222223,NA,6.396507640456636,0.3592561705153437,0.5800715908687866,0.5375124670101292,0.5860892961863435,0.8781889079048821,0.8930974259016707,150,25.81666667,100,0.6666666666666666,3.873466752243581,263827,1758.8466666666666,54.42857142857143,4.920196473041837,55,1.535,0.426811864112209,1.49,227,47.48888888888889,1.1304444444444444,306,-0.39057649561441377,1.3567282475543405,7.47241925572479,NA,9,1,9.2
